lat	lng	type
42.6647084	23.4116391	училище
42.6527275	23.3788572	училище
42.6475542	23.3559714	училище
42.6723761	23.3127238	училище
42.6751648	23.2883943	училище
42.6523521	23.3340734	училище
42.6491625	23.3307169	училище
42.6413301	23.373074	училище
42.6164833	23.3611878	училище
42.703086	23.1356576	училище
42.6831063	23.3315492	училище
42.7026494	23.3254369	училище
42.674195	23.2979669	училище
42.66482	23.3936099	училище
42.6390877	23.3148944	училище
42.7060506	23.3011232	училище
42.8182222	23.2152888	училище
42.7076207	23.1396746	училище
42.7026494	23.3254369	училище
42.6688036	23.274012	училище
42.6639974	23.2711316	училище
42.663738	23.2452483	училище
42.629457	23.3092891	училище
42.6508141	23.2655298	училище
42.6169472	23.3360382	училище
42.6302128	23.1950923	училище
42.7032798	23.3100406	училище
42.6660295	23.2531985	училище
42.6457968	23.2720654	училище
42.6275635	23.3100565	училище
42.6333524	23.3187654	училище
42.6577209	23.2510608	училище
42.6651533	23.3225917	училище
42.6641377	23.277479	училище
42.6785786	23.356975	училище
42.66306024	23.25257244	училище
42.6738212	23.3130982	училище
42.7379407	23.2908212	училище
42.7398074	23.2643209	училище
42.7267973	23.2828232	училище
42.7354596	23.288918	училище
42.7458007	23.276052	училище
42.7715859	23.2423979	училище
42.7031911	23.3328889	училище
42.7390529	23.2882656	училище
42.74594033	23.27378339	училище
42.7015069	23.311644	училище
42.6988695	23.3063462	училище
42.699374	23.3156141	училище
42.7027726	23.3166074	училище
42.6931447	23.2973334	училище
42.69819	23.316691	училище
42.6964122	23.3174582	училище
42.7017085	23.3081539	училище
42.6997256	23.2997553	училище
42.7030262	23.3215429	училище
42.7618387	23.2020603	училище
42.7047928	23.3139571	училище
42.6910292	23.2917533	училище
42.6971428	23.3138683	училище
42.6988229	23.3254756	училище
42.7217543	23.3052309	училище
42.6490876	23.3366691	училище
42.698791	23.3251488	училище
42.702946	23.3217478	училище
42.6628961	23.3434485	училище
42.6651728	23.3505976	училище
42.6750575	23.3544475	училище
42.6706134	23.3615111	училище
42.6725934	23.3556967	училище
42.663075	23.3629466	училище
42.6663466	23.3593833	училище
42.7100852	23.2872894	училище
42.8416469	23.3226045	училище
42.7115401	23.295978	училище
42.7039009	23.2917237	училище
42.6751624	23.3002138	училище
42.711579	23.2881367	училище
42.8441333	23.3202812	училище
42.7104961	23.2879209	училище
42.6617467	23.3988646	училище
42.6747987	23.4316803	училище
42.6526332	23.4020544	училище
42.7323815	23.2987303	училище
42.669322	23.3920097	училище
42.66956844	23.38773799	училище
42.6474919	23.409376	училище
42.6446637	23.4060267	училище
42.6596738	23.4106925	училище
42.7055749	23.2777517	училище
42.6965627	23.2847963	училище
42.6991053	23.292748	училище
