region	permit	event	timeframe	lat	lng	details
Панчарево	2022-03-17	2022-03-25	21:55-22:00	42.59536	23.41552	
Красна поляна	2022-03-30	2022-04-02	19:00-19:10	42.70221	23.28514	Скрили са точния адрес.
Младост	2022-04-12	2022-04-15	21:00-22:00	42.6711	23.3818	
Кремиковци	2022-03-31	2022-04-30	21:00-21:30	42.73212	23.47743	
Подуяне	2022-04-21	2022-05-01	21:30-21:40	42.70479	23.35538	22 м. до СОПЦ
Кремиковци	2022-04-26	2022-05-02	21:00-22:00	42.78065	23.50024	
Изгрев	2022-05-16	2022-05-18	21:45-22:00	42.67046	23.35128	Не е публикувано в срок
Нови Искър	2022-05-20	2022-05-20	21:30-22:00	42.80135	23.34167	Не е публикувано в срок
Лозенец	2022-05-18	2022-05-22	21:00-22:00	42.65876	23.33566	
Подуяне	2022-05-30	2022-06-04	21:40-21:45	42.70479	23.35538	22 м. до СОПЦ
Нови Искър	2022-06-01	2022-06-04	21:00-22:00	42.79916	23.34169	
Кремиковци	2022-06-06	2022-06-12	21:00-22:00	42.73893	23.51233	
Банкя	2022-06-09	2022-06-18	22:00-23:00	42.71239	23.14658	Забранено е между 22:00 и 09:00
Искър	2022-06-22	2022-06-25	21:30-21:35	42.63838	23.41357	
Витоша	2022-06-17	2022-06-25	21:45-22:00	42.61488	23.33799	
Витоша	2022-07-07	2022-07-09	21:45-21:55	42.61488	23.33799	
Нови Искър	2022-07-01	2022-07-09	21:55-22:00	42.81993	23.35386	
Витоша	2022-07-19	2022-07-22	21:00-22:00	42.63818	23.31849	
Витоша	2022-08-04	2022-08-07	21:30-22:00	42.65563	23.26182	
Студентски	2022-07-28	2022-08-20	20:00-22:00	42.64869	23.35422	
Панчарево	2022-08-19	2022-08-22	21:30-22:00	42.59536	23.41552	
Витоша	2022-08-31	2022-09-03	21:50-21:55	42.63148	23.31251	
Връбница	2022-08-19	2022-09-04	20:00-22:00	42.74745	23.27819	
Искър	2022-09-02	2022-09-09	21:30-22:00	42.63838	23.41357	
Връбница	2022-08-19	2022-09-10	20:00-22:00	42.74745	23.27819	
Искър	2022-09-02	2022-09-17	21:30-22:00	42.63838	23.41357	
Панчарево	2022-09-12	2022-09-17	21:30-22:00	42.59532	23.4155	
Панчарево	2022-09-12	2022-09-22	21:30-22:00	42.59532	23.4155	
Панчарево	2022-09-12	2022-09-15	21:30-22:00	42.68099	23.46625	
Панчарево	2022-09-20	2022-09-25	21:00-22:00	42.59532	23.4155	
Витоша	2022-11-22	2022-12-03	17:30-17:40	42.62838	23.19557	
Студентски	2022-12-07	2022-12-21	20:00-22:00	42.64869	23.35422	
Изгрев	2023-01-11	2023-01-15	19:00-19:30	42.67063	23.3485	
Витоша	2023-01-19	2023-01-24	20:00-22:00	42.64334	23.28143	
Витоша	2023-01-20	2023-01-21	19:00-19:30	42.621	23.32765	Не е публикувано в срок
